32 32
6
8
7
14 18
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
0; 0; 5; 5; 5; 5; 5; 5; 5; 5; 5; 6; 6; 6; 6; 6; 6;6P;6M; 6; 6; 6; 6; 6; 6; 4; 4;4P; 4; 4; 4; 0
0; 0; 0; 0; 5; 5; 5; 5; 5; 5; 5; 6; 6; 6; 6; 6; 6; 6;6M;6M; 6; 6; 6; 6; 4; 4;4M; 4; 4; 0; 4; 0
0; 0; 5; 5; 5; 5; 5; 5; 5; 5; 6; 6; 6; 6; 6; 6; 6; 6;6M; 6;6M; 6; 6; 6; 4; 4;4M;4M;4M; 0; 4; 0
0; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 6; 6; 6; 6; 6; 6; 6; 6; 6;6M;6M; 6; 6; 4; 4;4M; 4; 4; 4; 0; 0
0; 5; 5; 5; 5;5M;5M; 5; 5; 5; 5; 5;5P; 5; 5; 5; 5; 0; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 0; 0; 0
0; 5; 5; 5;5M;5M;5M; 5; 5; 5; 5; 5; 5; 5; 0; 0; 0; 0; 0; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 0; 0
5; 5; 5; 5; 5;5M;5M; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 0; 0; 0; 4; 4; 4; 4; 4; 4; 0; 0; 0; 0; 0; 0
0; 0; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5;5M;5M; 5; 5; 5; 5; 0; 0; 4; 4; 4; 4; 4; 4; 4; 4; 4; 0; 0; 0
0; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0

